,date,time,comp,round,day,venue,result,gf,ga,opponent,xg,xga,poss,attendance,captain,formation,referee,match report,notes,sh,sot,dist,fk,pk,pkatt,season,team
44,2023-05-14,20:45,Ligue 1,Matchweek 35,Sun,Home,W,3,1,Angers,2.7,0.3,62.0,63329.0,Dimitri Payet,3-4-3,Benoît Millot,Match Report,,13.0,5.0,14.7,0.0,1.0,1.0,2023,Marseille
45,2023-05-20,21:00,Ligue 1,Matchweek 36,Sat,Away,L,1,2,Lille,0.7,1.7,53.0,47399.0,Valentin Rongier,3-4-3,Jérôme Brisard,Match Report,,8.0,3.0,16.3,0.0,0.0,0.0,2023,Marseille
46,2023-05-27,21:00,Ligue 1,Matchweek 37,Sat,Home,L,1,2,Brest,1.1,1.0,62.0,61732.0,Valentin Rongier,3-4-3,Stéphanie Frappart,Match Report,,10.0,4.0,13.4,0.0,0.0,0.0,2023,Marseille
47,2023-06-03,21:00,Ligue 1,Matchweek 38,Sat,Away,L,0,1,Ajaccio,1.4,0.1,71.0,,Mattéo Guendouzi,3-4-3,Benoît Bastien,Match Report,,17.0,3.0,18.5,1.0,0.0,0.0,2023,Marseille
0,2022-08-07,17:05,Ligue 1,Matchweek 1,Sun,Home,L,0,1,Lorient,1.8,1.1,63.0,28177.0,Hamari Traoré,4-3-3,Bastien Dechepy,Match Report,,21.0,6.0,16.6,0.0,0.0,0.0,2023,Rennes
1,2022-08-13,17:00,Ligue 1,Matchweek 2,Sat,Away,D,1,1,Monaco,2.1,1.8,65.0,8000.0,Hamari Traoré,4-3-3,Jérémie Pignard,Match Report,,24.0,8.0,17.8,0.0,0.0,0.0,2023,Rennes
2,2022-08-21,17:05,Ligue 1,Matchweek 3,Sun,Home,W,2,1,Ajaccio,1.2,1.4,55.0,27592.0,Hamari Traoré,4-4-2,Hakim Ben El Hadj Salem,Match Report,,16.0,7.0,17.8,1.0,0.0,0.0,2023,Rennes
3,2022-08-27,21:00,Ligue 1,Matchweek 4,Sat,Away,L,1,2,Lens,1.0,1.3,49.0,37848.0,Hamari Traoré,4-3-3,Jérôme Brisard,Match Report,,12.0,6.0,16.1,0.0,0.0,0.0,2023,Rennes
4,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Home,W,3,1,Brest,1.5,0.5,64.0,27392.0,Benjamin Bourigeaud,4-3-3,Benoît Millot,Match Report,,16.0,9.0,16.3,0.0,0.0,0.0,2023,Rennes
5,2022-09-04,17:05,Ligue 1,Matchweek 6,Sun,Away,D,1,1,Troyes,2.4,0.9,71.0,8000.0,Hamari Traoré,4-3-3,Mathieu Vernice,Match Report,,19.0,6.0,14.5,1.0,0.0,0.0,2023,Rennes
7,2022-09-11,17:05,Ligue 1,Matchweek 7,Sun,Home,W,5,0,Auxerre,1.6,0.7,48.0,27837.0,Hamari Traoré,4-4-2,Thomas Léonard,Match Report,,12.0,8.0,12.8,1.0,0.0,0.0,2023,Rennes
9,2022-09-18,15:00,Ligue 1,Matchweek 8,Sun,Away,D,1,1,Marseille,1.2,1.6,41.0,62753.0,Hamari Traoré,4-2-3-1,Benoît Bastien,Match Report,,11.0,4.0,16.6,0.0,0.0,0.0,2023,Rennes
10,2022-10-01,17:00,Ligue 1,Matchweek 9,Sat,Away,W,3,1,Strasbourg,3.2,1.3,60.0,25226.0,Hamari Traoré,4-4-2,Eric Wattellier,Match Report,,17.0,7.0,15.9,1.0,0.0,0.0,2023,Rennes
12,2022-10-09,17:05,Ligue 1,Matchweek 10,Sun,Home,W,3,0,Nantes,1.8,0.5,57.0,27844.0,Hamari Traoré,4-4-2,Florent Batta,Match Report,,14.0,4.0,14.7,0.0,0.0,0.0,2023,Rennes
14,2022-10-16,15:00,Ligue 1,Matchweek 11,Sun,Home,W,3,2,Lyon,1.6,1.1,40.0,28152.0,Benjamin Bourigeaud,4-4-2,Stéphanie Frappart,Match Report,,14.0,5.0,15.1,0.0,0.0,0.0,2023,Rennes
15,2022-10-23,13:00,Ligue 1,Matchweek 12,Sun,Away,W,2,1,Angers,2.2,1.2,70.0,11500.0,Hamari Traoré,4-4-2,Pierre Gaillouste,Match Report,,13.0,4.0,15.2,2.0,1.0,1.0,2023,Rennes
17,2022-10-30,15:00,Ligue 1,Matchweek 13,Sun,Home,W,3,0,Montpellier,1.2,0.9,55.0,26617.0,Hamari Traoré,4-4-2,Bastien Dechepy,Match Report,,14.0,3.0,19.2,0.0,0.0,0.0,2023,Rennes
19,2022-11-06,17:05,Ligue 1,Matchweek 14,Sun,Away,D,1,1,Lille,0.9,2.4,38.0,35539.0,Hamari Traoré,4-3-3,Johan Hamel,Match Report,,2.0,1.0,17.7,0.0,1.0,1.0,2023,Rennes
20,2022-11-12,21:00,Ligue 1,Matchweek 15,Sat,Home,W,2,1,Toulouse,2.1,1.0,46.0,26835.0,Hamari Traoré,4-4-2,Willy Delajod,Match Report,,16.0,8.0,16.7,0.0,0.0,0.0,2023,Rennes
21,2022-12-29,19:00,Ligue 1,Matchweek 16,Thu,Away,L,1,3,Reims,1.6,1.4,66.0,13262.0,Hamari Traoré,4-3-3,Hakim Ben El Hadj Salem,Match Report,,11.0,5.0,14.4,0.0,0.0,0.0,2023,Rennes
22,2023-01-02,21:00,Ligue 1,Matchweek 17,Mon,Home,W,2,1,Nice,1.9,0.4,62.0,27427.0,Hamari Traoré,4-4-2,Thomas Léonard,Match Report,,20.0,5.0,14.3,0.0,0.0,0.0,2023,Rennes
24,2023-01-11,19:00,Ligue 1,Matchweek 18,Wed,Away,L,1,2,Clermont Foot,1.1,1.7,61.0,10648.0,Hamari Traoré,4-4-2,Clément Turpin,Match Report,,9.0,2.0,15.8,0.0,0.0,0.0,2023,Rennes
25,2023-01-15,20:45,Ligue 1,Matchweek 19,Sun,Home,W,1,0,Paris S-G,0.8,1.0,35.0,27566.0,Hamari Traoré,3-4-3,Benoît Bastien,Match Report,,8.0,6.0,20.0,2.0,0.0,0.0,2023,Rennes
27,2023-01-27,21:00,Ligue 1,Matchweek 20,Fri,Away,L,1,2,Lorient,1.5,0.9,67.0,16782.0,Hamari Traoré,5-4-1,Benoît Millot,Match Report,,19.0,6.0,19.6,0.0,0.0,0.0,2023,Rennes
28,2023-02-01,21:00,Ligue 1,Matchweek 21,Wed,Home,W,3,0,Strasbourg,1.1,0.1,59.0,26176.0,Benjamin Bourigeaud,4-3-3,Marc Bollengier,Match Report,,6.0,3.0,16.8,0.0,0.0,0.0,2023,Rennes
29,2023-02-04,21:00,Ligue 1,Matchweek 22,Sat,Home,L,1,3,Lille,1.8,2.2,39.0,28082.0,Benjamin Bourigeaud,4-4-2,Florent Batta,Match Report,,10.0,6.0,14.6,0.0,0.0,0.0,2023,Rennes
30,2023-02-12,13:00,Ligue 1,Matchweek 23,Sun,Away,L,1,3,Toulouse,1.3,2.1,68.0,21783.0,Benjamin Bourigeaud,4-4-2,Jeremy Stinat,Match Report,,13.0,4.0,17.5,0.0,0.0,0.0,2023,Rennes
32,2023-02-19,15:00,Ligue 1,Matchweek 24,Sun,Home,W,2,0,Clermont Foot,2.4,1.1,59.0,27798.0,Benjamin Bourigeaud,4-2-3-1,Bastien Dechepy,Match Report,,18.0,6.0,18.8,1.0,0.0,0.0,2023,Rennes
34,2023-02-26,15:00,Ligue 1,Matchweek 25,Sun,Away,W,1,0,Nantes,1.1,2.6,44.0,34467.0,Benjamin Bourigeaud,4-3-3,Jérémie Pignard,Match Report,,12.0,3.0,18.6,0.0,0.0,0.0,2023,Rennes
35,2023-03-05,20:45,Ligue 1,Matchweek 26,Sun,Home,L,0,1,Marseille,1.0,1.6,55.0,28515.0,Benjamin Bourigeaud,4-4-2,Eric Wattellier,Match Report,,13.0,2.0,13.5,0.0,0.0,0.0,2023,Rennes
36,2023-03-11,17:00,Ligue 1,Matchweek 27,Sat,Away,D,0,0,Auxerre,0.5,0.7,67.0,15695.0,Benjamin Bourigeaud,4-4-2,Mathieu Vernice,Match Report,,7.0,2.0,17.2,0.0,0.0,0.0,2023,Rennes
37,2023-03-19,17:05,Ligue 1,Matchweek 28,Sun,Away,W,2,0,Paris S-G,1.5,1.7,40.0,,Benjamin Bourigeaud,5-4-1,Willy Delajod,Match Report,,10.0,3.0,14.2,0.0,0.0,0.0,2023,Rennes
38,2023-04-01,21:00,Ligue 1,Matchweek 29,Sat,Home,L,0,1,Lens,1.0,1.5,56.0,,Hamari Traoré,5-4-1,Clément Turpin,Match Report,,10.0,3.0,18.8,1.0,0.0,0.0,2023,Rennes
39,2023-04-09,13:00,Ligue 1,Matchweek 30,Sun,Away,L,1,3,Lyon,1.1,1.1,41.0,,Hamari Traoré,4-2-3-1,Benoît Bastien,Match Report,,11.0,3.0,16.9,1.0,0.0,0.0,2023,Rennes
40,2023-04-15,17:00,Ligue 1,Matchweek 31,Sat,Home,W,3,0,Reims,2.9,0.4,51.0,27936.0,Hamari Traoré,4-1-4-1,Jeremy Stinat,Match Report,,23.0,8.0,15.2,1.0,0.0,0.0,2023,Rennes
41,2023-04-23,17:05,Ligue 1,Matchweek 32,Sun,Away,L,0,1,Montpellier,1.1,0.9,69.0,15537.0,Hamari Traoré,4-1-4-1,Ruddy Buquet,Match Report,,16.0,4.0,18.9,0.0,0.0,0.0,2023,Rennes
42,2023-04-30,15:00,Ligue 1,Matchweek 33,Sun,Home,W,4,2,Angers,2.1,1.0,64.0,,Hamari Traoré,4-1-4-1,Florent Batta,Match Report,,13.0,4.0,12.6,0.0,0.0,0.0,2023,Rennes
43,2023-05-06,17:00,Ligue 1,Matchweek 34,Sat,Away,L,1,2,Nice,1.3,1.6,53.0,,Hamari Traoré,4-1-4-1,Willy Delajod,Match Report,,14.0,4.0,19.4,1.0,0.0,0.0,2023,Rennes
44,2023-05-14,15:00,Ligue 1,Matchweek 35,Sun,Home,W,4,0,Troyes,3.9,0.4,66.0,,Hamari Traoré,4-1-4-1,Stéphanie Frappart,Match Report,,26.0,9.0,13.0,1.0,0.0,0.0,2023,Rennes
45,2023-05-21,13:00,Ligue 1,Matchweek 36,Sun,Away,W,5,0,Ajaccio,1.3,0.1,58.0,,Hamari Traoré,4-1-4-1,Eric Wattellier,Match Report,,13.0,7.0,16.3,0.0,0.0,0.0,2023,Rennes
46,2023-05-27,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,0,Monaco,1.3,0.5,57.0,28344.0,Hamari Traoré,4-1-4-1,Clément Turpin,Match Report,,12.0,6.0,17.5,0.0,0.0,0.0,2023,Rennes
47,2023-06-03,21:00,Ligue 1,Matchweek 38,Sat,Away,W,2,1,Brest,1.9,1.5,47.0,,Hamari Traoré,4-3-3,Jérôme Brisard,Match Report,,11.0,2.0,18.0,1.0,1.0,1.0,2023,Rennes
0,2022-08-07,15:00,Ligue 1,Matchweek 1,Sun,Home,W,4,1,Auxerre,2.4,0.6,59.0,32292.0,José Fonte,4-2-3-1,Eric Wattellier,Match Report,,16.0,6.0,19.1,1.0,0.0,0.0,2023,Lille
1,2022-08-12,21:00,Ligue 1,Matchweek 2,Fri,Away,D,1,1,Nantes,2.0,1.0,69.0,30689.0,José Fonte,4-2-3-1,Bastien Dechepy,Match Report,,16.0,4.0,11.5,0.0,0.0,0.0,2023,Lille
2,2022-08-21,20:45,Ligue 1,Matchweek 3,Sun,Home,L,1,7,Paris S-G,1.7,3.4,48.0,47526.0,José Fonte,4-2-3-1,Clément Turpin,Match Report,,16.0,9.0,17.5,0.0,0.0,0.0,2023,Lille
3,2022-08-26,21:00,Ligue 1,Matchweek 4,Fri,Away,W,3,1,Ajaccio,1.7,1.5,58.0,9070.0,José Fonte,4-2-3-1,Thomas Léonard,Match Report,,6.0,4.0,18.6,0.0,0.0,1.0,2023,Lille
4,2022-08-31,21:00,Ligue 1,Matchweek 5,Wed,Home,L,1,2,Nice,0.9,1.6,62.0,30254.0,José Fonte,4-2-3-1,Jeremy Stinat,Match Report,,18.0,6.0,19.6,0.0,0.0,0.0,2023,Lille
5,2022-09-04,13:00,Ligue 1,Matchweek 6,Sun,Away,W,3,1,Montpellier,1.6,0.5,75.0,12215.0,José Fonte,4-2-3-1,Jérôme Brisard,Match Report,,26.0,8.0,18.4,0.0,0.0,0.0,2023,Lille
6,2022-09-10,21:00,Ligue 1,Matchweek 7,Sat,Away,L,1,2,Marseille,1.0,2.2,47.0,62985.0,José Fonte,3-4-3,Benoît Millot,Match Report,,7.0,3.0,12.3,0.0,0.0,0.0,2023,Lille
7,2022-09-17,21:00,Ligue 1,Matchweek 8,Sat,Home,W,2,1,Toulouse,1.0,0.8,45.0,33635.0,José Fonte,4-2-3-1,Pierre Gaillouste,Match Report,,10.0,4.0,16.0,1.0,0.0,0.0,2023,Lille
8,2022-10-02,13:00,Ligue 1,Matchweek 9,Sun,Away,L,1,2,Lorient,2.2,0.6,63.0,14916.0,José Fonte,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,20.0,4.0,15.6,0.0,0.0,0.0,2023,Lille
9,2022-10-09,20:45,Ligue 1,Matchweek 10,Sun,Home,W,1,0,Lens,2.6,1.2,45.0,48527.0,José Fonte,4-2-3-1,François Letexier,Match Report,,11.0,4.0,16.8,0.0,1.0,1.0,2023,Lille
10,2022-10-14,21:00,Ligue 1,Matchweek 11,Fri,Away,W,3,0,Strasbourg,2.3,0.6,57.0,25313.0,José Fonte,4-2-3-1,Jérémie Pignard,Match Report,,9.0,6.0,18.5,1.0,1.0,1.0,2023,Lille
11,2022-10-23,20:45,Ligue 1,Matchweek 12,Sun,Home,W,4,3,Monaco,2.5,1.1,59.0,35362.0,Jonathan Bamba,4-2-3-1,Willy Delajod,Match Report,,20.0,7.0,15.8,1.0,0.0,0.0,2023,Lille
12,2022-10-30,20:45,Ligue 1,Matchweek 13,Sun,Away,L,0,1,Lyon,1.5,1.6,55.0,55790.0,José Fonte,4-2-3-1,Jérôme Brisard,Match Report,,15.0,5.0,17.9,1.0,0.0,0.0,2023,Lille
13,2022-11-06,17:05,Ligue 1,Matchweek 14,Sun,Home,D,1,1,Rennes,2.4,0.9,62.0,35539.0,José Fonte,4-2-3-1,Johan Hamel,Match Report,,19.0,7.0,13.4,1.0,0.0,0.0,2023,Lille
14,2022-11-13,15:00,Ligue 1,Matchweek 15,Sun,Home,W,1,0,Angers,0.6,0.6,58.0,36360.0,José Fonte,4-2-3-1,Miguel Nogueira,Match Report,,9.0,4.0,18.4,0.0,0.0,0.0,2023,Lille
15,2022-12-28,19:00,Ligue 1,Matchweek 16,Wed,Away,W,2,0,Clermont Foot,1.6,0.7,57.0,13122.0,José Fonte,3-4-3,François Letexier,Match Report,,13.0,2.0,22.0,1.0,1.0,1.0,2023,Lille
16,2023-01-02,17:00,Ligue 1,Matchweek 17,Mon,Home,D,1,1,Reims,2.3,0.8,61.0,31086.0,José Fonte,3-4-3,Eric Wattellier,Match Report,,14.0,5.0,14.6,0.0,0.0,0.0,2023,Lille
18,2023-01-11,19:00,Ligue 1,Matchweek 18,Wed,Away,D,0,0,Brest,0.7,0.3,71.0,11452.0,Benjamin André,4-2-3-1,Mathieu Vernice,Match Report,,11.0,4.0,17.7,0.0,0.0,0.0,2023,Lille
19,2023-01-15,13:00,Ligue 1,Matchweek 19,Sun,Home,W,5,1,Troyes,3.8,0.9,67.0,31254.0,Benjamin André,4-4-2,Pierre Gaillouste,Match Report,,23.0,13.0,15.9,0.0,0.0,0.0,2023,Lille
21,2023-01-29,13:00,Ligue 1,Matchweek 20,Sun,Away,L,0,1,Nice,1.6,1.6,56.0,22126.0,José Fonte,4-2-3-1,Eric Wattellier,Match Report,,16.0,7.0,18.2,1.0,0.0,0.0,2023,Lille
22,2023-02-01,19:00,Ligue 1,Matchweek 21,Wed,Home,D,0,0,Clermont Foot,1.3,1.4,66.0,32498.0,José Fonte,4-2-3-1,Jeremy Stinat,Match Report,,22.0,5.0,18.6,1.0,0.0,0.0,2023,Lille
23,2023-02-04,21:00,Ligue 1,Matchweek 22,Sat,Away,W,3,1,Rennes,2.2,1.8,61.0,28082.0,Benjamin André,4-2-3-1,Florent Batta,Match Report,,15.0,6.0,15.3,0.0,0.0,0.0,2023,Lille
25,2023-02-12,15:00,Ligue 1,Matchweek 23,Sun,Home,W,2,0,Strasbourg,2.7,0.3,67.0,30812.0,José Fonte,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,13.0,9.0,14.7,1.0,1.0,1.0,2023,Lille
26,2023-02-19,13:00,Ligue 1,Matchweek 24,Sun,Away,L,3,4,Paris S-G,2.4,2.0,54.0,46000.0,José Fonte,4-2-3-1,Willy Delajod,Match Report,,15.0,6.0,18.6,0.0,1.0,1.0,2023,Lille
27,2023-02-24,21:00,Ligue 1,Matchweek 25,Fri,Home,W,2,1,Brest,1.0,0.2,69.0,30257.0,Benjamin André,4-2-3-1,Pierre Gaillouste,Match Report,,18.0,4.0,17.5,1.0,0.0,0.0,2023,Lille
28,2023-03-04,17:00,Ligue 1,Matchweek 26,Sat,Away,D,1,1,Lens,1.6,0.9,62.0,37974.0,José Fonte,4-2-3-1,François Letexier,Match Report,,11.0,6.0,10.6,0.0,0.0,0.0,2023,Lille
29,2023-03-10,21:00,Ligue 1,Matchweek 27,Fri,Home,D,3,3,Lyon,2.3,0.8,55.0,40314.0,Benjamin André,4-2-3-1,Benoît Bastien,Match Report,,6.0,4.0,18.9,0.0,2.0,2.0,2023,Lille
30,2023-03-18,17:00,Ligue 1,Matchweek 28,Sat,Away,W,2,0,Toulouse,1.4,2.3,53.0,23006.0,José Fonte,4-2-3-1,Hakim Ben El Hadj Salem,Match Report,,18.0,4.0,16.2,0.0,0.0,0.0,2023,Lille
31,2023-04-02,13:00,Ligue 1,Matchweek 29,Sun,Home,W,3,1,Lorient,2.0,0.2,60.0,,José Fonte,4-2-3-1,Jérémie Pignard,Match Report,,20.0,7.0,17.4,1.0,0.0,0.0,2023,Lille
32,2023-04-08,17:00,Ligue 1,Matchweek 30,Sat,Away,L,0,1,Angers,1.4,1.0,66.0,,José Fonte,4-2-3-1,Mathieu Vernice,Match Report,,15.0,5.0,20.1,1.0,0.0,0.0,2023,Lille
33,2023-04-16,13:00,Ligue 1,Matchweek 31,Sun,Home,W,2,1,Montpellier,2.1,0.4,68.0,34200.0,José Fonte,4-2-3-1,Jérôme Brisard,Match Report,,17.0,7.0,16.6,1.0,0.0,0.0,2023,Lille
34,2023-04-22,17:00,Ligue 1,Matchweek 32,Sat,Away,D,1,1,Auxerre,2.2,1.5,69.0,16779.0,José Fonte,4-2-3-1,Stéphanie Frappart,Match Report,,13.0,3.0,13.2,0.0,1.0,1.0,2023,Lille
35,2023-04-29,17:00,Ligue 1,Matchweek 33,Sat,Home,W,3,0,Ajaccio,1.6,0.5,75.0,,Jonathan Bamba,4-2-3-1,François Letexier,Match Report,,10.0,5.0,18.0,0.0,0.0,0.0,2023,Lille
36,2023-05-06,19:00,Ligue 1,Matchweek 34,Sat,Away,L,0,1,Reims,1.7,2.0,63.0,,José Fonte,4-2-3-1,Thomas Léonard,Match Report,,11.0,5.0,13.7,0.0,0.0,0.0,2023,Lille
37,2023-05-14,17:05,Ligue 1,Matchweek 35,Sun,Away,D,0,0,Monaco,0.9,0.7,58.0,6805.0,José Fonte,4-2-3-1,Benoît Bastien,Match Report,,10.0,4.0,14.1,0.0,0.0,0.0,2023,Lille
38,2023-05-20,21:00,Ligue 1,Matchweek 36,Sat,Home,W,2,1,Marseille,1.7,0.7,47.0,47399.0,Benjamin André,4-1-2-1-2◆,Jérôme Brisard,Match Report,,11.0,2.0,20.3,0.0,1.0,1.0,2023,Lille
39,2023-05-27,21:00,Ligue 1,Matchweek 37,Sat,Home,W,2,1,Nantes,2.1,1.0,65.0,41136.0,José Fonte,4-2-3-1,Eric Wattellier,Match Report,,7.0,0.0,26.1,1.0,2.0,2.0,2023,Lille
40,2023-06-03,21:00,Ligue 1,Matchweek 38,Sat,Away,D,1,1,Troyes,1.4,0.4,66.0,,José Fonte,4-1-4-1,Jeremy Stinat,Match Report,,18.0,7.0,15.3,1.0,0.0,0.0,2023,Lille
1,2022-08-06,17:00,Ligue 1,Matchweek 1,Sat,Away,W,2,1,Strasbourg,2.8,0.8,47.0,25359.0,Axel Disasi,4-2-3-1,François Letexier,Match Report,,24.0,11.0,15.7,1.0,0.0,0.0,2023,Monaco
3,2022-08-13,17:00,Ligue 1,Matchweek 2,Sat,Home,D,1,1,Rennes,1.8,2.1,35.0,8000.0,Wissam Ben Yedder,4-4-2,Jérémie Pignard,Match Report,,11.0,3.0,16.3,0.0,0.0,1.0,2023,Monaco
4,2022-08-20,17:00,Ligue 1,Matchweek 3,Sat,Home,L,1,4,Lens,1.6,2.5,46.0,8700.0,Wissam Ben Yedder,4-4-2,Willy Delajod,Match Report,,12.0,5.0,20.4,0.0,0.0,0.0,2023,Monaco
5,2022-08-28,20:45,Ligue 1,Matchweek 4,Sun,Away,D,1,1,Paris S-G,1.2,2.7,33.0,46000.0,Wissam Ben Yedder,5-3-2,Benoît Bastien,Match Report,,4.0,3.0,24.5,1.0,0.0,0.0,2023,Monaco
6,2022-08-31,19:00,Ligue 1,Matchweek 5,Wed,Home,L,2,4,Troyes,1.2,2.2,52.0,4045.0,Wissam Ben Yedder,3-4-1-2,Ruddy Buquet,Match Report,,8.0,6.0,8.8,0.0,0.0,0.0,2023,Monaco
7,2022-09-04,20:45,Ligue 1,Matchweek 6,Sun,Away,W,1,0,Nice,1.1,0.7,48.0,24125.0,Axel Disasi,3-4-3,Benoît Millot,Match Report,,14.0,2.0,22.1,0.0,0.0,0.0,2023,Monaco
9,2022-09-11,20:45,Ligue 1,Matchweek 7,Sun,Home,W,2,1,Lyon,1.7,2.0,39.0,7000.0,Axel Disasi,3-4-3,Clément Turpin,Match Report,,11.0,4.0,15.0,0.0,0.0,0.0,2023,Monaco
11,2022-09-18,13:00,Ligue 1,Matchweek 8,Sun,Away,W,3,0,Reims,1.7,0.6,67.0,10000.0,Wissam Ben Yedder,4-4-2,Marc Bollengier,Match Report,,20.0,11.0,17.3,0.0,0.0,0.0,2023,Monaco
12,2022-10-02,17:05,Ligue 1,Matchweek 9,Sun,Home,W,4,1,Nantes,2.1,0.5,49.0,5202.0,Wissam Ben Yedder,4-4-2,Thomas Léonard,Match Report,,9.0,5.0,16.3,1.0,1.0,1.0,2023,Monaco
14,2022-10-09,13:00,Ligue 1,Matchweek 10,Sun,Away,W,2,0,Montpellier,1.2,0.7,50.0,13048.0,Wissam Ben Yedder,4-4-2,Benoît Millot,Match Report,,11.0,7.0,20.6,2.0,0.0,0.0,2023,Monaco
16,2022-10-16,17:05,Ligue 1,Matchweek 11,Sun,Home,D,1,1,Clermont Foot,1.1,1.9,35.0,4731.0,Wissam Ben Yedder,4-4-2,Ruddy Buquet,Match Report,,5.0,3.0,21.5,0.0,0.0,1.0,2023,Monaco
17,2022-10-23,20:45,Ligue 1,Matchweek 12,Sun,Away,L,3,4,Lille,1.1,2.5,41.0,35362.0,Wissam Ben Yedder,4-4-2,Willy Delajod,Match Report,,9.0,6.0,16.2,1.0,0.0,0.0,2023,Monaco
19,2022-10-30,15:00,Ligue 1,Matchweek 13,Sun,Home,W,2,0,Angers,1.8,0.6,52.0,7069.0,Wissam Ben Yedder,3-4-1-2,Stéphanie Frappart,Match Report,,7.0,4.0,17.0,0.0,0.0,1.0,2023,Monaco
21,2022-11-06,15:00,Ligue 1,Matchweek 14,Sun,Away,W,2,0,Toulouse,2.4,0.7,52.0,23005.0,Axel Disasi,4-2-3-1,Benoît Millot,Match Report,,24.0,10.0,17.0,0.0,0.0,0.0,2023,Monaco
22,2022-11-13,20:45,Ligue 1,Matchweek 15,Sun,Home,L,2,3,Marseille,2.0,1.9,42.0,10631.0,Wissam Ben Yedder,4-2-3-1,Benoît Bastien,Match Report,,10.0,5.0,22.8,0.0,1.0,1.0,2023,Monaco
23,2022-12-28,17:00,Ligue 1,Matchweek 16,Wed,Away,W,3,2,Auxerre,1.3,1.3,62.0,16503.0,Wissam Ben Yedder,4-4-2,Marc Bollengier,Match Report,,5.0,2.0,19.4,1.0,1.0,1.0,2023,Monaco
24,2023-01-01,15:00,Ligue 1,Matchweek 17,Sun,Home,W,1,0,Brest,1.4,0.8,51.0,6150.0,Axel Disasi,4-4-2,Jeremy Stinat,Match Report,,17.0,5.0,17.9,0.0,0.0,0.0,2023,Monaco
26,2023-01-11,21:00,Ligue 1,Matchweek 18,Wed,Away,D,2,2,Lorient,1.8,1.3,58.0,14521.0,Axel Disasi,4-2-2-2,Jérôme Brisard,Match Report,,16.0,4.0,15.4,0.0,0.0,0.0,2023,Monaco
27,2023-01-15,17:05,Ligue 1,Matchweek 19,Sun,Home,W,7,1,Ajaccio,3.7,0.3,65.0,8000.0,Wissam Ben Yedder,4-2-2-2,Ruddy Buquet,Match Report,,10.0,7.0,11.4,0.0,1.0,1.0,2023,Monaco
28,2023-01-28,21:00,Ligue 1,Matchweek 20,Sat,Away,D,1,1,Marseille,1.5,1.6,39.0,64502.0,Wissam Ben Yedder,4-2-2-2,Jérémie Pignard,Match Report,,11.0,4.0,15.5,0.0,0.0,0.0,2023,Monaco
29,2023-02-01,21:00,Ligue 1,Matchweek 21,Wed,Home,W,3,2,Auxerre,1.2,1.4,44.0,3561.0,Wissam Ben Yedder,4-2-2-2,Eric Wattellier,Match Report,,16.0,6.0,19.2,1.0,0.0,0.0,2023,Monaco
30,2023-02-05,13:00,Ligue 1,Matchweek 22,Sun,Away,W,2,0,Clermont Foot,1.4,0.4,47.0,11598.0,Axel Disasi,4-2-3-1,Marc Bollengier,Match Report,,14.0,5.0,17.9,0.0,0.0,0.0,2023,Monaco
31,2023-02-11,17:00,Ligue 1,Matchweek 23,Sat,Home,W,3,1,Paris S-G,2.9,0.8,42.0,16500.0,Wissam Ben Yedder,4-2-2-2,Clément Turpin,Match Report,,19.0,9.0,12.9,0.0,0.0,0.0,2023,Monaco
33,2023-02-19,15:00,Ligue 1,Matchweek 24,Sun,Away,W,2,1,Brest,1.5,0.9,52.0,13203.0,Wissam Ben Yedder,4-4-2,Hakim Ben El Hadj Salem,Match Report,,9.0,3.0,19.8,0.0,0.0,0.0,2023,Monaco
35,2023-02-26,17:05,Ligue 1,Matchweek 25,Sun,Home,L,0,3,Nice,1.0,2.3,56.0,9000.0,Axel Disasi,3-1-4-2,Benoît Bastien,Match Report,,15.0,4.0,20.4,0.0,0.0,0.0,2023,Monaco
36,2023-03-05,13:00,Ligue 1,Matchweek 26,Sun,Away,D,2,2,Troyes,3.0,0.9,61.0,9160.0,Wissam Ben Yedder,4-4-2,Stéphanie Frappart,Match Report,,17.0,4.0,14.4,0.0,0.0,0.0,2023,Monaco
37,2023-03-12,17:05,Ligue 1,Matchweek 27,Sun,Home,L,0,1,Reims,0.9,1.9,49.0,5383.0,Wissam Ben Yedder,4-4-2,Thomas Léonard,Match Report,,14.0,3.0,15.5,0.0,0.0,0.0,2023,Monaco
38,2023-03-19,13:00,Ligue 1,Matchweek 28,Sun,Away,W,2,0,Ajaccio,1.1,1.1,58.0,,Wissam Ben Yedder,4-4-2,Jeremy Stinat,Match Report,,8.0,4.0,16.6,0.0,0.0,0.0,2023,Monaco
39,2023-04-02,17:05,Ligue 1,Matchweek 29,Sun,Home,W,4,3,Strasbourg,1.4,1.5,50.0,,Wissam Ben Yedder,4-4-2,Willy Delajod,Match Report,,9.0,6.0,13.2,0.0,0.0,0.0,2023,Monaco
40,2023-04-09,17:05,Ligue 1,Matchweek 30,Sun,Away,D,2,2,Nantes,1.3,1.1,51.0,,Wissam Ben Yedder,4-2-3-1,Clément Turpin,Match Report,,16.0,9.0,14.3,0.0,0.0,0.0,2023,Monaco
